year,data1,data2,data3,data4,data5
20040101,3.9,0.5,0.3,1,0.5
20050101,3.8,0.5,0.2,1.2,0.4
20060101,4.3,0.6,0.2,1.2,0.5
20070101,4.7,0.7,0.3,1.1,0.5
20080101,2.2,0.4,0.1,0.7,0.3
20090101,0.6,-0.4,0.1,0.6,0.1
20100101,4.6,0.3,0.2,1.2,0.6
20110101,2.5,0.3,0.2,1,0.4
20120101,2.5,0.3,0.2,0.6,0.4
20130101,2.7,0.1,0.2,0.6,0.4
20140101,2.7,0.2,0.2,0.7,0.4
