year,sec1,sec2,sec3
2000,0.200,0.122,0.678
2001,0.214,0.122,0.664
2002,0.224,0.110,0.665
2003,0.245,0.099,0.655
2004,0.252,0.084,0.663
2005,0.235,0.075,0.690
2006,0.240,0.076,0.684
2007,0.251,0.083,0.666
2008,0.256,0.081,0.663
2009,0.257,0.077,0.666
2010,0.251,0.084,0.665
2011,0.263,0.082,0.655
2012,0.257,0.081,0.662
