year,sec1,sec2,sec3
2000,0.024,0.260,0.716
2001,0.025,0.222,0.752
2002,0.020,0.233,0.747
2003,0.019,0.254,0.727
2004,0.019,0.271,0.710
2005,0.017,0.266,0.717
2006,0.019,0.301,0.681
2007,0.014,0.343,0.643
2008,0.015,0.261,0.724
2009,0.014,0.234,0.752
2010,0.014,0.255,0.731
2011,0.014,0.250,0.736
2012,0.014,0.246,0.740
