year,sec1,sec2,sec3
2000,0.377,0.173,0.450
2001,0.366,0.173,0.461
2002,0.374,0.175,0.451
2003,0.365,0.176,0.459
2004,0.359,0.173,0.468
2005,0.352,0.171,0.477
2006,0.336,0.167,0.497
2007,0.325,0.166,0.509
2008,0.317,0.168,0.515
2009,0.330,0.159,0.512
2010,0.354,0.151,0.495
2011,0.368,0.155,0.477
2012,0.357,0.149,0.494
