year,sec1,sec2,sec3
2000,0.052,0.119,0.829
2001,0.068,0.130,0.802
2002,0.066,0.134,0.800
2003,0.059,0.135,0.806
2004,0.059,0.130,0.811
2005,0.075,0.148,0.777
2006,0.061,0.129,0.809
2007,0.054,0.126,0.821
2008,0.054,0.173,0.773
2009,0.041,0.144,0.815
2010,0.041,0.149,0.810
2011,0.039,0.179,0.781
2012,0.041,0.169,0.790
