year,sec1,sec2,sec3
2000,0.163,0.191,0.646
2001,0.140,0.205,0.655
2002,0.146,0.200,0.655
2003,0.143,0.192,0.665
2004,0.140,0.205,0.655
2005,0.141,0.192,0.668
2006,0.144,0.192,0.664
2007,0.146,0.185,0.668
2008,0.142,0.184,0.674
2009,0.128,0.200,0.672
2010,0.117,0.212,0.671
2011,0.121,0.220,0.658
2012,0.122,0.211,0.667
