year,sec1,sec2,sec3
2000,0.170,0.451,0.379
2001,0.160,0.468,0.372
2002,0.151,0.499,0.351
2003,0.134,0.523,0.344
2004,0.117,0.543,0.340
2005,0.098,0.632,0.270
2006,0.074,0.680,0.246
2007,0.069,0.700,0.230
2008,0.059,0.692,0.250
2009,0.065,0.600,0.334
2010,0.059,0.640,0.301
2011,0.054,0.653,0.293
2012,0.055,0.628,0.317
