year,sec1,sec2,sec3
2000,0.344,0.231,0.425
2001,0.340,0.226,0.434
2002,0.345,0.222,0.434
2003,0.330,0.237,0.434
2004,0.308,0.260,0.433
2005,0.295,0.291,0.414
2006,0.279,0.299,0.422
2007,0.259,0.299,0.442
2008,0.219,0.323,0.459
2009,0.206,0.336,0.458
2010,0.198,0.334,0.468
2011,0.191,0.326,0.483
2012,0.198,0.332,0.470
