year,sec1,sec2,sec3
2000,0.134,0.362,0.505
2001,0.127,0.348,0.525
2002,0.119,0.405,0.476
2003,0.114,0.402,0.484
2004,0.105,0.411,0.484
2005,0.090,0.445,0.465
2006,0.089,0.438,0.473
2007,0.091,0.454,0.455
2008,0.086,0.426,0.488
2009,0.100,0.375,0.525
2010,0.089,0.391,0.520
2011,0.092,0.398,0.511
2012,0.093,0.388,0.519
