year,sec1,sec2,sec3
2000,0.274,0.360,0.366
2001,0.261,0.379,0.360
2002,0.263,0.386,0.351
2003,0.252,0.394,0.354
2004,0.249,0.377,0.373
2005,0.232,0.373,0.395
2006,0.221,0.390,0.389
2007,0.192,0.454,0.354
2008,0.190,0.445,0.365
2009,0.188,0.432,0.381
2010,0.175,0.446,0.379
2011,0.169,0.425,0.406
2012,0.181,0.420,0.399
