year,sec1,sec2,sec3
2000,0.290,0.178,0.532
2001,0.271,0.186,0.544
2002,0.263,0.185,0.553
2003,0.263,0.186,0.551
2004,0.251,0.212,0.536
2005,0.243,0.211,0.546
2006,0.230,0.209,0.560
2007,0.231,0.211,0.558
2008,0.231,0.223,0.546
2009,0.239,0.202,0.559
2010,0.243,0.206,0.551
2011,0.260,0.213,0.527
2012,0.244,0.220,0.536
