year,sec1,sec2,sec3
2000,0.221,0.207,0.572
2001,0.205,0.208,0.587
2002,0.206,0.206,0.588
2003,0.220,0.198,0.582
2004,0.228,0.188,0.584
2005,0.200,0.190,0.610
2006,0.180,0.177,0.643
2007,0.192,0.182,0.626
2008,0.174,0.182,0.644
2009,0.172,0.186,0.642
2010,0.182,0.200,0.618
2011,0.189,0.212,0.599
2012,0.188,0.211,0.601
