year,sec1,sec2,sec3
2000,0.103,0.083,0.814
2001,0.079,0.085,0.836
2002,0.074,0.089,0.838
2003,0.088,0.105,0.807
2004,0.067,0.097,0.836
2005,0.069,0.096,0.835
2006,0.055,0.087,0.858
2007,0.057,0.087,0.856
2008,0.049,0.090,0.861
2009,0.052,0.090,0.857
2010,0.051,0.084,0.865
2011,0.046,0.090,0.864
2012,0.050,0.088,0.862
