year,sec1,sec2,sec3
2000,0.108,0.300,0.592
2001,0.094,0.285,0.621
2002,0.114,0.279,0.608
2003,0.111,0.280,0.608
2004,0.107,0.280,0.613
2005,0.106,0.280,0.613
2006,0.094,0.282,0.624
2007,0.085,0.278,0.637
2008,0.085,0.272,0.643
2009,0.091,0.253,0.656
2010,0.095,0.264,0.641
2011,0.090,0.275,0.635
2012,0.089,0.267,0.644
