year,sec1,sec2,sec3
2000,0.366,0.313,0.321
2001,0.370,0.287,0.343
2002,0.373,0.231,0.395
2003,0.367,0.221,0.412
2004,0.328,0.238,0.434
2005,0.313,0.220,0.467
2006,0.320,0.196,0.484
2007,0.302,0.187,0.511
2008,0.262,0.228,0.511
2009,0.203,0.256,0.541
2010,0.188,0.282,0.531
2011,0.180,0.298,0.521
2012,0.195,0.251,0.555
