year,sec1,sec2,sec3
2000,0.084,0.255,0.661
2001,0.087,0.249,0.664
2002,0.064,0.257,0.679
2003,0.062,0.251,0.686
2004,0.059,0.255,0.686
2005,0.049,0.259,0.691
2006,0.055,0.253,0.692
2007,0.068,0.251,0.681
2008,0.053,0.259,0.688
2009,0.066,0.241,0.693
2010,0.062,0.251,0.687
2011,0.060,0.251,0.689
2012,0.063,0.248,0.690
