year,sec1,sec2,sec3
2000,0,0.147,0.853
2001,0,0.129,0.871
2002,0,0.121,0.879
2003,0,0.128,0.872
2004,0,0.120,0.880
2005,0,0.152,0.848
2006,0,0.198,0.802
2007,0,0.191,0.809
2008,0,0.172,0.828
2009,0,0.109,0.891
2010,0,0.074,0.926
2011,0,0.064,0.936
2012,0,0.083,0.917
