year,sec1,sec2,sec3
2000,0.347,0.127,0.526
2001,0.240,0.123,0.637
2002,0.310,0.122,0.568
2003,0.374,0.115,0.511
2004,0.361,0.098,0.541
2005,0.304,0.075,0.621
2006,0.294,0.082,0.624
2007,0.268,0.093,0.640
2008,0.288,0.106,0.605
2009,0.294,0.103,0.603
2010,0.283,0.100,0.616
2011,0.289,0.103,0.608
2012,0.289,0.102,0.609
