year,sec1,sec2,sec3
2000,0.038,0.262,0.700
2001,0.043,0.261,0.696
2002,0.032,0.268,0.700
2003,0.034,0.266,0.700
2004,0.032,0.272,0.696
2005,0.030,0.284,0.686
2006,0.024,0.284,0.692
2007,0.025,0.281,0.693
2008,0.025,0.293,0.682
2009,0.024,0.274,0.702
2010,0.025,0.287,0.688
2011,0.024,0.283,0.694
2012,0.024,0.281,0.695
