year,sec1,sec2,sec3
2000,0.232,0.264,0.504
2001,0.230,0.256,0.513
2002,0.208,0.265,0.527
2003,0.209,0.263,0.528
2004,0.189,0.281,0.530
2005,0.187,0.283,0.530
2006,0.182,0.290,0.529
2007,0.181,0.292,0.527
2008,0.177,0.285,0.539
2009,0.177,0.278,0.545
2010,0.180,0.276,0.544
2011,0.175,0.267,0.557
2012,0.174,0.258,0.569
