year,sec1,sec2,sec3
2000,0.100,0.192,0.708
2001,0.105,0.198,0.697
2002,0.092,0.138,0.770
2003,0.100,0.112,0.788
2004,0.099,0.103,0.798
2005,0.090,0.093,0.817
2006,0.090,0.119,0.792
2007,0.090,0.133,0.777
2008,0.106,0.134,0.760
2009,0.125,0.119,0.755
2010,0.150,0.117,0.734
2011,0.150,0.131,0.720
2012,0.141,0.122,0.736
