year,sec1,sec2,sec3
2000,0.450,0.550,0.000
2001,0.445,0.555,0.000
2002,0.442,0.558,0.000
2003,0.405,0.595,0.000
2004,0.395,0.605,0.000
2005,0.369,0.631,0.000
2006,0.351,0.649,0.000
2007,0.322,0.678,0.000
2008,0.318,0.682,0.000
2009,0.308,0.692,0.000
2010,0.302,0.698,0.000
2011,0.326,0.674,0.000
2012,0.312,0.688,0.000
