year,sec1,sec2,sec3
2000,0.309,0.250,0.441
2001,0.264,0.252,0.485
2002,0.215,0.256,0.529
2003,0.208,0.284,0.508
2004,0.226,0.320,0.454
2005,0.221,0.362,0.417
2006,0.196,0.430,0.374
2007,0.205,0.419,0.377
2008,0.214,0.344,0.442
2009,0.196,0.330,0.474
2010,0.162,0.375,0.463
2011,0.145,0.363,0.492
2012,0.171,0.329,0.500
