year,sec1,sec2,sec3
2000,0.229,0.418,0.352
2001,0.247,0.423,0.330
2002,0.220,0.424,0.356
2003,0.203,0.413,0.384
2004,0.194,0.401,0.404
2005,0.188,0.376,0.436
2006,0.174,0.363,0.463
2007,0.191,0.381,0.428
2008,0.123,0.537,0.340
2009,0.123,0.535,0.342
2010,0.145,0.484,0.370
2011,0.145,0.484,0.370
2012,0.138,0.501,0.361
