year,sec1,sec2,sec3
2000,0.051,0.139,0.810
2001,0.043,0.140,0.817
2002,0.042,0.137,0.820
2003,0.035,0.135,0.830
2004,0.035,0.132,0.833
2005,0.034,0.127,0.839
2006,0.033,0.116,0.851
2007,0.028,0.122,0.850
2008,0.032,0.122,0.847
2009,0.030,0.120,0.850
2010,0.031,0.121,0.848
2011,0.030,0.121,0.848
2012,0.031,0.121,0.849
