year,sec1,sec2,sec3
2000,0.194,0.078,0.728
2001,0.202,0.091,0.707
2002,0.187,0.091,0.722
2003,0.183,0.113,0.703
2004,0.195,0.104,0.701
2005,0.216,0.085,0.699
2006,0.229,0.069,0.702
2007,0.238,0.083,0.679
2008,0.217,0.170,0.613
2009,0.227,0.148,0.625
2010,0.225,0.139,0.636
2011,0.232,0.093,0.674
2012,0.228,0.127,0.646
