year,sec1,sec2,sec3
2000,0.046,0.386,0.568
2001,0.044,0.371,0.585
2002,0.040,0.367,0.593
2003,0.037,0.372,0.591
2004,0.037,0.387,0.576
2005,0.033,0.383,0.584
2006,0.032,0.377,0.591
2007,0.029,0.377,0.594
2008,0.027,0.370,0.603
2009,0.028,0.374,0.599
2010,0.026,0.393,0.580
2011,0.027,0.398,0.575
2012,0.026,0.397,0.577
