year,sec4,sec5,sec6
2000,0.01,0.637,0.353
2001,0.011,0.6,0.388
2002,0.011,0.607,0.382
2003,0.012,0.641,0.346
2004,0.011,0.679,0.31
2005,0.009,0.716,0.275
2006,0.007,0.732,0.261
2007,0.007,0.713,0.28
2008,0.006,0.741,0.252
2009,0.009,0.654,0.337
2010,0.008,0.668,0.324
2011,0.006,0.722,0.271
2012,0.007,0.711,0.282
