year,sec1,sec2,sec3
2000,0.570,0.232,0.198
2001,0.532,0.261,0.207
2002,0.447,0.222,0.331
2003,0.429,0.218,0.352
2004,0.357,0.263,0.380
2005,0.366,0.269,0.365
2006,0.349,0.279,0.372
2007,0.354,0.265,0.381
2008,0.292,0.270,0.438
2009,0.330,0.224,0.446
2010,0.296,0.219,0.485
2011,0.285,0.228,0.488
2012,0.303,0.224,0.473
