year,sec1,sec2,sec3
2000,0.086,0.401,0.513
2001,0.093,0.384,0.524
2002,0.085,0.380,0.535
2003,0.083,0.370,0.547
2004,0.074,0.369,0.557
2005,0.066,0.392,0.542
2006,0.057,0.408,0.535
2007,0.058,0.387,0.556
2008,0.054,0.412,0.533
2009,0.062,0.390,0.548
2010,0.047,0.426,0.527
2011,0.055,0.409,0.536
2012,0.045,0.392,0.563
