year,sec4,sec5,sec6
2000,0.001,0.345,0.654
2001,0.001,0.318,0.681
2002,0.001,0.319,0.681
2003,0.001,0.311,0.688
2004,0.001,0.328,0.671
2005,0.001,0.316,0.684
2006,0.000,0.312,0.687
2007,0.000,0.288,0.711
2008,0.000,0.265,0.735
2009,0.000,0.274,0.725
2010,0.000,0.275,0.725
2011,0.000,0.267,0.733
2012,0.000,0.267,0.732
