year,sec1,sec2,sec3
2000,0.255,0.087,0.658
2001,0.243,0.087,0.670
2002,0.244,0.072,0.684
2003,0.247,0.071,0.681
2004,0.235,0.066,0.699
2005,0.241,0.057,0.702
2006,0.240,0.044,0.717
2007,0.265,0.035,0.700
2008,0.274,0.040,0.686
2009,0.264,0.074,0.663
2010,0.261,0.081,0.658
2011,0.277,0.094,0.630
2012,0.267,0.083,0.650
