year,sec1,sec2,sec3
2000,0.117,0.403,0.48
2001,0.115,0.398,0.488
2002,0.117,0.392,0.491
2003,0.117,0.394,0.489
2004,0.114,0.402,0.484
2005,0.107,0.409,0.485
2006,0.106,0.411,0.483
2007,0.11,0.403,0.486
2008,0.117,0.405,0.479
2009,0.118,0.395,0.487
2010,0.118,0.397,0.485
2011,0.121,0.391,0.488
2012,0.116,0.393,0.491
