year,sec4,sec5,sec6
2000,0.378,0.23,0.391
2001,0.361,0.235,0.404
2002,0.329,0.256,0.415
2003,0.336,0.263,0.401
2004,0.312,0.272,0.417
2005,0.324,0.264,0.412
2006,0.317,0.276,0.408
2007,0.319,0.268,0.413
2008,0.349,0.238,0.413
2009,0.357,0.231,0.413
2010,0.36,0.233,0.407
2011,0.367,0.235,0.398
2012,0.356,0.243,0.401
