year,sec4,sec5,sec6
2000,0.225,0.302,0.473
2001,0.219,0.231,0.550
2002,0.254,0.215,0.532
2003,0.257,0.217,0.525
2004,0.128,0.624,0.247
2005,0.075,0.766,0.159
2006,0.051,0.850,0.099
2007,0.054,0.836,0.110
2008,0.039,0.871,0.090
2009,0.052,0.799,0.149
2010,0.046,0.823,0.131
2011,0.033,0.856,0.111
2012,0.044,0.826,0.130
